SRR_ID	Tissue	Log2TPM1
SRR1107684	Adipose	2.385590622
Z30_2SF	Adipose	2.392616923
SRR13080430	Adipose	2.400571537
Z300_2PF	Adipose	2.405073914
Y30_1PF	Adipose	2.410175006
SRR7770492	Adipose	2.418189408
SRR4299268	Adipose	2.422616233
SRR1805930	Adipose	2.431112912
ERR2205065	Adipose	2.434858507
SRR7892553	Adipose	2.437315108
SRR12511405	Adipose	2.44025486
Y180_3SF	Adipose	2.441170578
W300_2PF	Adipose	2.442979579
SRR1805937	Adipose	2.454800487
SRR1805935	Adipose	2.457894986
SRR1979646	Adipose	2.476830111
CNR0262769	Adipose	2.497126404
SRR7892549	Adipose	2.499509676
SRX7805566	Adipose	2.501753765
SRR8177207	Adipose	2.517086934
SRR1805941	Adipose	2.528371028
W30_3PF	Adipose	2.530491051
SRR3160055	Adipose	2.539557374
SRR12511406	Adipose	2.54901482
SRR1979645	Adipose	2.550258941
SRX7805564	Adipose	2.557947952
SRR2995140	Adipose	2.57061715
SRR1805931	Adipose	2.570997406
SRR7770493	Adipose	2.58294974
SRR1805933	Adipose	2.584135118
Y180_1SF	Adipose	2.585107725
SRR1979638	Adipose	2.61496774
SRR8177200	Adipose	2.639106646
ERR789443	Adipose	2.642537079
SRR1979629	Adipose	2.644830891
SRR2995139	Adipose	2.645573244
SRR4299249	Adipose	2.651687084
SRR1805929	Adipose	2.652736808
Y180_1PF	Adipose	2.657510591
SRR1805945	Adipose	2.660418004
SRR1107716	Adipose	2.662138036
Z30_1_PF	Adipose	2.676883447
SRR3160015	Adipose	2.677565971
SRR1805939	Adipose	2.679499016
SRR7903771	Adipose	2.680868247
SRR10764464	Adipose	2.684092271
SRR1805946	Adipose	2.691294961
SRR3159995	Adipose	2.691405746
SRR1979643	Adipose	2.698984082
SRR1979634	Adipose	2.70952114
SRR1572018	Adipose	2.716493381
SRR7903770	Adipose	2.716673576
SRR8177208	Adipose	2.7191256
SRR1572035	Adipose	2.719298238
SRR1805932	Adipose	2.724735827
SRR7144120	Adipose	2.725335662
Y30_2SF	Adipose	2.731868793
SRR1805942	Adipose	2.732996985
SRR1979632	Adipose	2.734037994
SRR3160035	Adipose	2.736822183
SRX7805567	Adipose	2.742352934
Z180_1PF	Adipose	2.744365212
SRR1979633	Adipose	2.747742068
SRR7144121	Adipose	2.75847652
SRR3160065	Adipose	2.763498474
SRR768448	Adipose	2.764434272
SRR1979635	Adipose	2.767951357
SRR1979639	Adipose	2.783759829
SRR1979637	Adipose	2.791677608
SRR10764652	Adipose	2.79449364
SRR3160045	Adipose	2.79789099
SRR13080432	Adipose	2.798458063
SRR4299253	Adipose	2.80701956
SRR1979642	Adipose	2.808764159
SRR12511401	Adipose	2.809018832
SRR8318488	Adipose	2.815878896
SRR1979636	Adipose	2.816182504
SRR7903793	Adipose	2.828484137
SRR7144119	Adipose	2.847785095
SRR1572019	Adipose	2.857068724
SRR1805934	Adipose	2.883062006
SRR8177209	Adipose	2.891675427
SRR4344100	Adipose	2.904920068
SRR7144118	Adipose	2.912561538
SRR1805936	Adipose	2.918450353
Y180_2SF	Adipose	2.939490452
SRR1979644	Adipose	2.950831002
SRR7770495	Adipose	2.969458866
SRR2995142	Adipose	2.985218786
