Samples	PC1_Expr	PC1_Methyl	PC2_Expr	PC2_Methyl	Stages	Breeds
LE60_2	-36.8327	-89.6578	10.1332	146.0687	E60	LDR
LE60_3	-33.5705	-91.4795	10.7636	151.3395	E60	LDR
LE65_1	-36.3946	-32.4541	10.2062	130.6995	E65	LDR
LE65_2	-32.0427	-9.9136	11.1808	123.5601	E65	LDR
LE65_3	-35.2955	-74.2768	10.5444	139.904	E65	LDR
LE70_1	-32.1007	-52.3032	9.9256	141.0886	E70	LDR
LE70_2	-33.1238	-38.2533	9.4011	133.8931	E70	LDR
LE70_3	-31.8962	-18.3235	9.1032	134.8714	E70	LDR
LE75_1	-30.0866	-40.9791	8.7838	129.4915	E75	LDR
LE75_2	-29.8	-5.7873	9.5251	118.7715	E75	LDR
LE75_3	-26.4937	-33.0048	9.4255	123.3003	E75	LDR
LE80_1	-25.557	1.4858	10.7877	121.9455	E80	LDR
LE80_2	-22.8973	16.6556	11.1945	120.586	E80	LDR
LE80_3	-25.3762	-8.4761	10.3814	123.8185	E80	LDR
LE85_1	-21.1281	10.4243	6.8116	120.0585	E85	LDR
LE85_2	-22.1677	50.9712	5.4983	107.9865	E85	LDR
LE85_3	-21.1427	-5.5116	7.4821	118.8079	E85	LDR
LE90_1	-17.5495	34.8483	10.7331	112.3375	E90	LDR
LE90_2	-18.3186	17.4815	6.3819	125.5151	E90	LDR
LE90_3	-16.734	-8.3828	10.9216	132.1556	E90	LDR
LE95_1	-10.3815	62.048	9.1218	96.9648	E95	LDR
LE95_2	-13.8514	39.0293	7.9871	107.9593	E95	LDR
LE95_3	-9.7764	53.8257	9.8502	99.412	E95	LDR
LE100_1	-6.3495	82.9281	8.5208	77.6988	E100	LDR
LE100_2	-7.1924	88.0858	8.7278	74.7571	E100	LDR
LE100_3	-5.3673	79.0346	8.8598	79.2318	E100	LDR
LE105_1	1.2564	78.1553	8.0222	81.8438	E105	LDR
LE105_2	-2.4153	82.1705	5.4486	83.4383	E105	LDR
LE105_3	0.3945	108.6856	8.7795	76.8426	E105	LDR
LD0_1	20.9778	95.0851	4.4882	76.326	D0	LDR
